"","cy","cy2","country_name","year","v2jupoatck_lag2","v2jupoatck_lag1","v2jupoatck","v2juhccomp_lag2","v2juhccomp_lag1","v2juhccomp","v2jupurge_lag2","v2jupurge_lag1","v2jupurge","v2jupack_lag2","v2jupack_lag1","v2jupack","v2x_jucon_lag2","v2x_jucon_lag1","v2x_jucon","v2juhcind_lag2","v2juhcind_lag1","v2juhcind","v2xlg_legcon","v2x_divparctrl","v2x_polyarchy","v2x_regime","e_gdppc","e_regiongeo","e_regionpol","log_e_gdppc","region","POLCONIII_VDEM","polconiii","LJI","LJI_lag1","LJI_lag2","LJI_lag3","LJI_lead1","LJI_lead2","LJI_vdem","LJI_vdem_lag1","LJI_vdem_lag2","LJI_vdem_lag3","LJI_vdem_lead1","LJI_vdem_lead2","boix_democracy","boix_democracy_text","boix_democracy_omitteddata","boix_democracy_trans","boix_democracy_breakdowns","boix_democracy_duration","boix_democracy_duration_log","system","checks","frac","govfrac","numvote","gov1me","gov1vote","gov2me","gov2vote","gov3me","gov3vote","oppfrac","oppvote","opp1me","opp1vote","opp2me","opp2vote","opp3me","opp3vote","execme","percentl","execnat","allhouse","api_gov","popul_gov","conserv_gov","extremism_gov","seatshare_gov","seatshare_total","api_exec_party","popul_exec_party","conserv_exec_party","api_opp","popul_opp","conserv_opp","seatshare_opp","edi_high","regime_type","api_exec_gov","popul_exec_gov","conserv_exec_gov","api_model","popul_model","conserv_model"
"212","MEX 2000","Mexico 2000","Mexico",2000,1.904,1.904,1.904,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.731,0.731,0.731,0.98,0.98,0.98,0.76,-1.578,0.664,2,29.475,17,2,3.38354244642343,"Latin Am.",0.48,0.363912656,0.4406,0.4446,0.449,0.4517,0.4374,0.4326,0.4709,0.4744,0.4777,0.48,0.4672,0.4625,1,"democracy",1,1,0,1,0,"Presidential",5,0.64144552,0.12604533,36.880001,"PAN",36.880001,"PVEM",NA,NA,0,0.39578646,59.119999,"PRI",36.549999,"PRD",18.59,"PT",NA,"PAN",NA,0,0,0.053172,0.071318,-0.377336,0.951188,42.2,96.8,0.126,0.169,2.254,0.209898,0.178438,0.114218,54.6,"high edi","Electoral democracy",0.089586,0.120159,0.938332,0.089586,0.120159,0.938332
"215","MEX 2003","Mexico 2003","Mexico",2003,1.904,1.904,1.904,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.731,0.731,0.731,0.98,0.98,0.98,0.721,-1.578,0.699,2,29.941,17,2,3.39922877856731,"Latin Am.",0.41,0.405744876,0.4517,0.4528,0.453,0.4533,0.449,0.4446,0.48,0.4818,0.483,0.4838,0.4777,0.4744,1,"democracy",1,0,0,4,1.38629436111989,"Presidential",5,0.66949898,0.18106508,36.010002,"PAN",31.860001,"PVEM",4.1500001,NA,0,0.45719811,43.91,"PRI",23.209999,"PRD",18.219999,"PT",2.48,"PAN",NA,0,0,0.059602,0.051476,-0.305028,0.737358,34,97.8,0.152,0.154,2.254,0.23764,0.227596,-0.00264199999999992,63.8,"high edi","Electoral democracy",0.105801,0.102738,0.974486,0.105801,0.102738,0.974486
"218","MEX 2006","Mexico 2006","Mexico",2006,1.441,1.441,1.798,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.714,0.714,0.731,0.98,0.98,0.98,0.721,-1.568,0.671,2,31.873,17,2,3.461759256412,"Latin Am.",0.43,0.28574167,0.4533,0.4504,0.4468,0.445,0.453,0.4528,0.4838,0.4834,0.4829,0.4832,0.483,0.4818,1,"democracy",1,0,0,7,1.94591014905531,"Presidential",5,0.72146189,0,0,"PAN",NA,NA,0,NA,0,0.68348485,0,"PRD",NA,"PRI",NA,"PVEM",NA,"PAN",NA,0,0,0.11536,0.044908,-0.18504,0.828944,41.2,97.4,0.28,0.109,2.012,0.21163,0.253318,-0.217854,49.8,"high edi","Electoral democracy",0.19768,0.076954,0.91348,0.19768,0.076954,0.91348
"221","MEX 2009","Mexico 2009","Mexico",2009,0.59,0.59,0.981,1.211,1.211,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.739,0.739,0.714,1.209,1.209,0.98,0.721,-1.568,0.648,2,31.734,17,2,3.4573886613119,"Latin Am.",0.56,0.557563741,0.445,0.445,0.4467,0.4488,0.4468,0.4504,0.4832,0.4845,0.4863,0.4884,0.4829,0.4834,1,"democracy",1,0,0,10,2.30258509299405,"Presidential",5,0.67399585,0,0,"PAN",NA,NA,0,NA,0,0.52017951,0,"PRI",NA,"PRD",NA,"PVEM",NA,"PAN",NA,0,0,0.04576,0.031174,0.774181,0.535392,28.6,94.4,0.16,0.109,1.872,0.268346,0.199148,0.108914,65.8,"high edi","Electoral democracy",0.10288,0.070087,1.3230905,0.10288,0.070087,1.3230905
"224","MEX 2012","Mexico 2012","Mexico",2012,1.622,1.935,0.59,1.211,1.211,1.211,0.678,0.678,1.108,1.687,1.687,1.495,0.712,0.712,0.719,0.966,0.966,0.859,0.72,-1.478,0.649,2,33.482,17,2,3.51100798099359,"Latin Am.",0.54,0.400423861,0.4488,0.4502,0.4507,0.4503,0.4467,0.445,0.4884,0.49,0.491,0.4912,0.4863,0.4845,1,"democracy",1,0,0,13,2.56494935746154,"Presidential",5,0.70296699,0.21258645,0,"PRI",NA,"PVEM",NA,NA,0,0.59368092,0,"PAN",NA,"PRD",NA,"PT",NA,"PRI",NA,0,0,0.228978,0.042122,0.580282,0.512042,48.2,91.8,0.483,0.091,1.016,0.098696,0.201896,0.156116,43.6,"high edi","Electoral democracy",0.355989,0.066561,0.798141,0.355989,0.066561,0.798141
"549","SWE 1976","Sweden 1976","Sweden",1976,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,-0.42,0.908,3,55.919,2,5,4.0239042150761,"W. Europe, N. Am.",0.47,0.469096997,0.8585,0.8642,0.8702,0.8763,0.8536,0.8488,0.9224,0.9252,0.928,0.9309,0.9193,0.9164,1,"democracy",1,0,0,66,4.18965474202643,"Parliamentary",4,0.71193558,0.63494724,50.800003,"CP",24.1,"Moderate",15.6,"FP",11.1,0.18202311,47.400002,"Social Dem",42.700001,"Communist",4.6999998,NA,0,"CP",NA,0,0,0.015638,0.05641,0.535344,0.57213,51.6,95.2,0.03,0.115,0.495,0.01308,0.170476,-0.727684,43.6,"high edi","Liberal democracy",0.022819,0.085705,0.515172,0.015638,0.05641,0.535344
"552","SWE 1979","Sweden 1979","Sweden",1979,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,-0.404,0.909,3,57.861,2,5,4.05804358249577,"W. Europe, N. Am.",0.47,0.474647451,0.8763,0.8831,0.8904,0.8981,0.8702,0.8642,0.9309,0.9338,0.9369,0.9399,0.928,0.9252,1,"democracy",1,0,0,69,4.23410650459726,"Parliamentary",4,0.71481735,0.64880133,49,"Moderate",20.299999,"CP",18.1,"FP",10.6,0.20463757,48.799999,"Social Dem",43.200001,"Communist",5.5999999,NA,0,"CP",NA,0,0,0.015239,0.054009,-0.660726,0.655032,50.1,99.9,0.03,0.116,0.495,0.015054,0.206289,-0.927435,49.8,"high edi","Liberal democracy",0.0226195,0.0850045,-0.082863,0.015239,0.054009,-0.660726
"555","SWE 1982","Sweden 1982","Sweden",1982,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.193,0.91,3,60.132,2,5,4.09654214576559,"W. Europe, N. Am.",0.48,0.476568745,0.8981,0.9069,0.9152,0.9246,0.8904,0.8831,0.9399,0.9433,0.9467,0.9505,0.9369,0.9338,1,"democracy",1,0,0,72,4.27666611901606,"Parliamentary",3,0.69131273,0,45.599998,"Social Dem",45.599998,NA,0,NA,0,0.66402453,50.400002,"Moderate",23.6,"CP",15.4,"FP",5.9000001,"Social Dem",NA,0,0,0.01428,0.186116,-0.293838,0.794444,47.6,99.9,0.03,0.391,-1.669,0.01605,0.083498,0.497598,52.3,"high edi","Liberal democracy",0.02214,0.288558,-0.981419,0.01428,0.186116,-0.293838
"558","SWE 1985","Sweden 1985","Sweden",1985,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.617,0.909,3,64.85,2,5,4.17207691076245,"W. Europe, N. Am.",0.45,0.454918506,0.9246,0.9337,0.9416,0.95,0.9152,0.9069,0.9505,0.9548,0.9588,0.9622,0.9467,0.9433,1,"democracy",1,0,0,75,4.31748811353631,"Parliamentary",3,0.70753878,0.191773,50.07,"Social Dem",44.720001,"Communist",5.3499999,NA,0,0.65407634,49.43,"Moderate",21.309999,"FP",14.22,"CP",12.4,"Social Dem",NA,0,0,0.015408,0.210372,-0.11605,0.942396,51,99.7,0.03,0.391,-1.669,0.014828,0.05169,0.675451,48.7,"high edi","Liberal democracy",0.022704,0.300686,-0.892525,0.015408,0.210372,-0.11605
"561","SWE 1988","Sweden 1988","Sweden",1988,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.617,0.908,3,69.754,2,5,4.24497476672741,"W. Europe, N. Am.",0.47,0.471244016,0.95,0.9567,0.9602,0.9633,0.9416,0.9337,0.9622,0.965,0.9671,0.9688,0.9588,0.9548,1,"democracy",1,0,0,78,4.35670882668959,"Parliamentary",3,0.7292428,0.21032357,49,"Social Dem",43.200001,"Communist",5.8000002,NA,0,0.71834624,47.299999,"Moderate",18.299999,"FP",12.2,"CP",11.3,"Social Dem",NA,0,0,0.01533,0.210417,-0.340288,0.829962,50.7,99.9,0.03,0.391,-1.406,0.013239,0.04668,0.59175,43.5,"high edi","Liberal democracy",0.022665,0.3007085,-0.873144,0.01533,0.210417,-0.340288
